,id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations,profit,rating,Rated,rated
94,19185,Night of the Living Dead,Horror-Thriller,en,In this remake of the classic 1968 film a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.,22.027,Columbia Pictures-21st Century Film Corporation-MGM Studios,1990-10-19,4200000.0,5835247.0,88.0,Released,There IS a Fate Worse Than Death.,6.8,713.0,Tony Todd-Patricia Tallman-McKee Anderson-Bill Moseley-Heather Mazur-Tom Towles-William Butler-Pat Reese-Katie Finneran-Stacie Foster-David W. Butler-Zachary Mott-William Cameron-Pat Logan-Berle Ellis-Bill Cardille-Greg Funk-Rik Billock-Don Brockett-Earl Ellis-Tim Carrier-John Hamilton-Dyrk Ashton-Jordan Berlant-Albert Shellhammer-Jay McDowell-Kendal Kraft-George Cameron Romero-Charles Crawley-George A. Romero-Taso N. Stavrakis-Russell Streiner-Tom Savini,remake-attack-zombie,/isp4lCv08asTPNvv8Xe8oQK293n.jpg,/k0fSqCYhbwlBi0M9FHpgqjmgh4W.jpg,10331-8408-923-42172-10128-29426-22244-13025-11683-10925-24929-7219-18111-27346-19124-10768-924-11569-10785-764-1694,1635247.0,6.578597785977859,PG-13,PG-13
95,11007,Cheaper by the Dozen,Comedy-Family,en,The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University forcing his writer wife Mary and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home leaving the kids bored -- and increasingly mischievous.,22.013,20th Century Fox-Robert Simonds Productions,2003-12-24,40000000.0,190212113.0,98.0,Released,Growing pains? They've got twelve of them!,6.273,2499.0,Steve Martin-Bonnie Hunt-Piper Perabo-Tom Welling-Hilary Duff-Kevin G. Schmidt-Alyson Stoner-Jacob Smith-Liliana Mumy-Morgan York-Forrest Landis-Blake Woodruff-Brent Kinsman-Shane Kinsman-Paula Marshall-Steven Anthony Lawrence-Alan Ruck-Richard Jenkins-Holmes Osborne-Vanessa Bell Calloway-Rex Linn-David Kelsey-Dax Shepard-Elon Gold-Cody Linley-Adam Taylor Gordon-Julie Araskog-Benjamin Fitch-Antonio Vega-David Bowe-Kevin Carey-Ossie Mair-Amy Hill-Ted Rooney-Joel McCrary-Tiffany Dupont-Shawn Levy-Dylan S. Shults-Regis Philbin-Kelly Ripa-Merris Carden-Wayne Knight-Ashton Kutcher-Jared Padalecki-Gary Pike-D. Danny Warhol,chicago illinois-based on novel or book-husband wife relationship-big family-american football coach-remake-family relationships-sibling-new job-aspiring actor-smart kid-father son relationship-sister sister relationship-large family-brother brother relationship,/afclGGoQslTYFTnyW1LRMtJMiBp.jpg,/v1WKXrLyQDPFBsYwxB4sNd0sQCV.jpg,9641-10330-10708-18736-11247-12090-10022-9820-10137-14024-3050-9880-10996-10118-10923-11130-11451-10054-15648-13649-2698,150212113.0,6.2240196229318965,PG,PG
96,732713,Evil Eye,Mystery-Thriller-Horror,en,A seemingly perfect romance turns dark when a mother becomes convinced her daughter’s new boyfriend has a sinister connection to her own past.,21.956,Amazon Studios-Blumhouse Television,2020-04-01,0.0,0.0,90.0,Released,Trust your mother's instincts.,5.5,139.0,Sarita Choudhury-Sunita Mani-Omar Maskati-Bernard White-Anjali Bhimani-Nupur Charyalu-Lena Clark-Asad Durrani-Kim Patel-Ramesh Reddy-Pritesh Shah-Kamran Shaikh-Ash Thapliyal-Rachel Cora Wood,reincarnation-south asian,/lhExfe0yTZL2DRVkou9hnNlOcc9.jpg,/xTGJ4ZPDLoCIJkTjDkb0d1j7AUI.jpg,539649-643550-716258,0.0,5.290794979079498,PG-13,PG-13
97,512895,Lady and the Tramp,Family-Romance-Comedy,en,The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp who tries to show her to live her life footloose and collar-free.,21.866,Walt Disney Pictures-Taylor Made Entertainment,2019-11-12,0.0,0.0,111.0,Released,Be loyal. Be brave. Be loved.,7.3,1381.0,"Tessa Thompson-Justin Theroux-Kiersey Clemons-Thomas Mann-Ashley Jensen-Benedict Wong-Janelle Monáe-Yvette Nicole Brown-Arturo Castro-Adrian Martinez-Sam Elliott-Ken Jeong-Clancy Brown-Nate ""Rocket"" Wonder-Parvesh Cheena-F. Murray Abraham-Curtis Lyons-Kate Kneeland-Darryl W. Handy-James Bentley-Roman GianArthur Irvin",freedom-family-streetwise-live action and animation,/8wBEye516IKul9sW7JKGcFXVGfV.jpg,/eXlfDtIi7UvxKoUi9a8oxHDAYej.jpg,215875-10340-454467-10105-382748-420817-329996-606856-330457-18269-11566-574093-420809-508439-420814-420818-638507-337401-481084-458897-431693,0.0,7.144699527346386,PG-13,PG-13
99,6522,Life,Comedy-Crime,en,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,21.817,Universal Pictures-Imagine Entertainment,1999-04-16,80000000.0,73521587.0,108.0,Released,Share it with someone you love.,6.6,656.0,Eddie Murphy-Martin Lawrence-Obba Babatundé-Nick Cassavetes-Bernie Mac-Michael Taliferro-Anthony Anderson-Barry Shabaka Henley-Miguel A. Núñez Jr.-Bokeem Woodbine-Lisa Nicole Carson-Sanaa Lathan-Brooks Almy-Hal Havins-Poppy Montgomery-Venus DeMilo Thomas-Ned Beatty-Noah Emmerich-Heavy D-Ned Vaughn-R. Lee Ermey-Clarence Williams III-Rick James-O'Neal Compton-Walter K. Jordan-Keith Burke,mississippi river-racist-bootlegging-criminal-life imprisonment-1930s,/mMTrgEhGrHzin07P5G6BPVw9XuW.jpg,/GjoNCBnOdmKz7ZVG0IICfg1GKa.jpg,5851-17159-10136-12107-11066-8860-9327-11078-306-11260-9602-8427-10956-11353-9013-9333-1621-10708-96-11001-10808,-6478413.0,6.388359788359788,PG,PG
100,68817,Footloose,Drama-Music-Romance,en,Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo Ren challenges the ban revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.,21.681,Dylan Sellers Productions-Weston Pictures-Zadan / Meron Productions,2011-10-06,24000000.0,63543328.0,113.0,Released,There comes a time to cut loose,6.6,1489.0,Dennis Quaid-Kenny Wormald-Julianne Hough-Andie MacDowell-Miles Teller-Ray McKinnon-Patrick John Flueger-Kim Dickens-Ziah Colon-Ser'Darius Blain-L. Warren Young-Brett Rice-Maggie Elizabeth Jones-Mary-Charles Jones-Enisha Brewster-Josh Warren-Corey Flaspoehler-Anessa Ramsey-Jason Ferguson-Frank Hoyt Taylor-Jayson Smith-Claude Phillips-Clay Chappell-Tony Vaughn-Staley Colvert-Daniel Burnley-Jack Davidson-Alisa Pettit-Tracy Goode-Clayton Landey-John Still-Brian F. Durkin-Amber Wallace-Sandra Ellis Lafferty-D. Dylan Schettina-Blair Jasin-Jasmine Cook-Reece Thomas-Ivey Lowe-Anna Marie Dobbins-Kevin Renard Fisher-Andrew Ruark-Travis Young-Jamal Sims-Kyle Wayne Cordova-Skyh Alvester Black-Madison Benson-Jonathan Sylvan Carey-Craig Brewer-Bubba Carr-Sora Connor-Kasey Davage-Chynna Dulac-Brett Frost-Terrence Gilbert Green-Ashlyn Henson-Cicely Kelley-Elysandra Quinones-Brandon Sauve-Allan Skeene Jr.-Katherine Slatery-Amanda Topper-Jasmine Badie-Sean Bankhead-Terence Dickson-Kiara Ely-Comfort Fedoke-Hannah Huddleston-Stephen Stevo Jones-JaQuel Knight-Tamara Levinson-Ron Myles-Britney Chelene Thomas-Christopher Toler-Nanci Anderson-Kendra Andrews-Jeffery Scott Bailey-Liana Blackburn-Brent L. Boxberger-Taylor Bradley-Kelley Bradshaw-Claire Callaway-Robert Chabott-C. Ryan Chandler-Amanda Davisson-Troy Dela Rosa-Hannah Douglass-Danella Dutton-Aisha Francis-Jonathan Fritschi-Larke Hasstedt-Joey Hernandez-Katherine Hough-Jeremy Hudson-Dacia James-George Jones Jr.-William Ladd-Meryl Lester-Katherine Levy-Megan Mackey-Michelle Maniscalco-Brian Mason-Michael McDonough-Dennis McKinnie-Keltie Colleen Minksky-Marriann Nelson-Brent Ours-Jamie Overla-Marabeth Poole-Harrison Jonathan Prater-Melissa Rummels-Monique Slaughter-Lisa Marie Thomas-Gissette E. Valentin-Tyler Duncan Wall-Quincy Lamar Willis-Sharee Wise-Joshua Allen-Tucker Barkley-Bianca Brewton-Whitney Brown-Bboy Kid David-Justin de Vera-Michael Brandon Dizon-Laura Edwards-Christina Glur-Cory Graves-Misha Hamilton-Dayna Michelle Harris-Ivan Koumaev-Nicholas Lanzisera-Matthew Laraway-Spencer Liff-Ahrielle Mace-Candace Neolani Maxwell-Glenda Morales-Abbye Myers-Christian Owens-Kayla Jenee Radomski-Luis Rosado-Carson Marie Seeley-Dakota Scott Smith-Brittny Sugarman-Melanie Ullmann-Miguel Angel Zarate,dancing-dancer-dance-remake-prom-dance music-dance teacher,/68eo5PVf2o18BQivw3U7IJia6kV.jpg,/fW1GatD12zbltefRvKR6b4iouQp.jpg,1788-85446-112949-80271-72570-35690-85373-243683-37950-9762-22971-74018-8328-37056-38117-77877-42297-114150-59860-63710-228205,39543328.0,6.499307740717432,PG-13,PG-13
102,9691,Assassins,Action-Adventure-Crime-Thriller,en,Assassin Robert Rath arrives at a funeral to kill a prominent mobster only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.,21.474,Dino De Laurentiis Company-Silver Pictures-Evansgideon/Lazar-Warner Bros. Pictures-Canal+-Donner/Shuler-Donner Productions,1995-10-06,50000000.0,30303072.0,132.0,Released,In the shadows of life. In the business of death. One man found a reason to live.,6.5,1334.0,"Sylvester Stallone-Antonio Banderas-Julianne Moore-Anatoli Davydov-Muse Watson-Steve Kahan-Kelly Rowan-Reed Diamond-Kai Wulff-Kerry Skalsky-James Douglas Haskins-Stephen Liska-John Harms-Edward J. Rosen-Christina Orchid-Bruce R. Orchid-Sue Carolyn Wise-James Oliver-Ron Ben Jarrett-Marian Collier-Dave Young-Ragna Sigrun-Mark Woodford-Anibal O. Lleras-Marta Labatut-Choco Orta-Ivonne Piazza-Ángel Vázquez-Axel Anderson-David Dollase-Jim Graham-Wally Dalton-Paul Tuerpe-John Procaccino-Nerissa E. Williams-Juan Manuel Lebrón-Eddie Bellaflores-Thomas Helgeland-James W. Gavin-Scott Stuber-Richard Blum-Michael DeCourcey-Whitey Shapiro-Stefan Enriquez-Fulvio Cecere-Shirley Oliver-Eric Sather-Wally Gudgell-J. Mills Goodloe-Peter Sebastian Lackaff-John Lamar-Ernie Hall-Calli Medved-Robert Sanders-Rhonda J. Osborne-Christina Herrera-Cary Sanchez-Frank R. Jimenez Jr.-Jeff King-David ""Shark"" Fralick-Bob Minor",cia-bank-cat-mexican standoff-seattle usa-hitman-mission of murder-hidden camera-rivalry-rescue-shootout-police chase-sniper rifle-detroit michigan-silencer-double cross-caribbean sea-assassinos [1995],/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,/ejaBMLY1IlNdmpgDD4Vy4xhdlkR.jpg,2636-9874-9618-9350-11228-9482-9739-2142-9972-10461-1825-1369-9268-9876-1370-9604-7555-9884-21610-9594-10375,-19696928.0,6.395397489539749,PG-13,PG-13
103,19058,Down,Action-Horror-Mystery-Thriller,en,After the elevators at a New York City skyscraper begin inexplicably malfunctioning putting its passengers at risk mechanic Mark Newman and reporter Jennifer Evans begin separate investigations. Newman gets resistance from superiors at his company which manufactured the elevator while additional elevator incidents cause several gruesome deaths. The police get involved and suspect that terrorists are responsible but a far stranger explanation looms.,21.417,First Floor Features,2001-09-06,15000000.0,163169.0,111.0,Released,YOUR NEXT STOP... IS HELL.,5.2,123.0,James Marshall-Naomi Watts-Eric Thal-Michael Ironside-Edward Herrmann-Dan Hedaya-Ron Perlman-Kathryn Meisle-David Gwillim-Martin McDougall-John Cariani-Ike Barinholtz-Peter Banks-William Vanderpuye-Wilke Durand-Priscilla Hendrickse-Sasha Woman-Todd Boyce,new york city-terrorist-nightmare-investigation-government-police-remake-mystery-mechanic-reporter-death-elevator-deadly-malfunction-incident-decapitated,/jWPmTnu1zXZO3IFGIvNLQtjOkr7.jpg,/o1aZItEGLCy3ZERCqQC4yKV1Cqw.jpg,82654,-14836831.0,5.110313901345291,PG-13,PG-13
105,1255,The Host,Horror-Drama-Science Fiction,ko,Following the dumping of gallons of toxic waste in the river a giant mutated squid-like creature appears and begins attacking the populace. Gang-du's daughter Hyun-seo is snatched up by the creature; with his family to assist him he sets off to find her.,21.322,Chungeorahm Film-Boston Investments-Cowell Investment Capital Co.-IMM Venture Capital-Knowledge & Creation Ventures-M-Venture Investment-OCN-Sego Entertainment-Seoul Broadcasting System-Tube Pictures-Showbox-Cineclick Asia-Happinet Pictures-CJ Entertainment,2006-07-27,11000000.0,88489643.0,120.0,Released,Monsters are real.,7.0,2357.0,Song Kang-ho-Byun Hee-bong-Park Hae-il-Bae Doona-Ko A-sung-Oh Dal-su-Lee Jae-eung-Lee Dong-ho-Yoon Je-moon-Yim Pil-sung-Kim Roi-ha-Koh Soo-hee-Kim Hak-sun-Scott Wilson-Brian Rhee-Paul Lazar-David Anselmo-Baek Do-bin-Martin Lord Cayce-Choi Dae-sung-Choi Doo-yeong-Choi Jae-sup-Jung Seo-yoon-Philip Hersh-Jeong In-gi-Jeong Hyeong-Ho-Ji Ha-geon-Jung Kang-hee-Kim Bi-bi-Kim Choo-wol-Kim Da-yeon-Kim Hyo-sun-Kim Jin-seon-Kim Nan-hee-Kim Sang-jo-Kwon Bang-hyeon-Kwon Byung-gil-Kwon Hyeok-Pung-Lee Dong-yong-Lee Eung-jae-Lee Hoon-jin-Lee Jong-yoon-Lee Seung-jin-Min Kyung-jin-Moon Hee-ra-Clinton Morgan-Park Jeong-gi-Park Kyeong-mok-Park No-shik-Ra Mi-ran-Seo Ha-neul-Shin Seung-ri-Shin Hyun-jong-Son Young-soon-Son Jin-ho-Song Kyeong-ha-Yoo Seung-mok-Yoo Yeon-soo-Seo Young-ju-Ko Chang-seok-Park Jin-woo,river-monster-bravery-archer-daughter-sewerage-pollution-formaldehyde-snack bar-family-asian origins-seoul south korea,/dEDLY3KeghKFzks5nTDWdigVikr.jpg,/44F22wn408ya0sipaezfRhTiBpQ.jpg,11423-30018-4550-77771-22536-4689-110415-21531-387426-49214-14968-346646-313108-4552-9392-670-9426-11075-49797-56085-2440,77489643.0,6.918599918599918,PG-13,PG-13
106,524247,The Intruder,Thriller,en,A psychological thriller about a young married couple who buys a beautiful Napa Valley house on several acres of land only to find that the man they bought it from refuses to let go of the property.,21.312,Hidden Empire Film Group-Screen Gems,2019-05-03,0.0,25724305.0,102.0,Released,Your House. His Home.,6.1,501.0,Michael Ealy-Joseph Sikora-Meagan Good-Alvina August-Dennis Quaid-Erica Cerra-Kurt Evans-Carolyn Anderson-Lili Sepe-Raylene Harewood-Chris Shields-Sam Vincent-Caroline Muthoni Muita-Connor Mackay-Debs Howard-Lee Shorten,california-country house-widow-thanksgiving-psychopath-stalker-deer-murder-christmas lights-voyeur-christmas-intruder-napa valley,/p9xKyetr0ihJ2K6HJMeXzc4IwEv.jpg,/kyegg1r5oxRCZgqU7anHYD2TJap.jpg,189312-541339-975120-802443-535845-359790-612152-619278-320048-513268-531503-934756-852448-597922-785539-459992-502416-480414-498249-599975-215211,25724305.0,5.916971713810316,PG,PG
108,853588,Prey,Thriller,de,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,21.085,Senator Film,2021-09-10,0.0,0.0,86.0,Released,,4.7,284.0,David Kross-Hanno Koffler-Maria Ehrich-Robert Finster-Livia Matthes-Yung Ngo-Klaus Steinbacher-Nellie Thalbach-Natalie Fischer-Tim Haberland,hunting-bachelorette party,/6D7nfhHI7b9ZvW3m7wVMtBSbC9U.jpg,/3cetvzRrg8l94hWwt0rRyaISPMQ.jpg,487083-864873-990691-962920-597891-789708-682344-645710-28794-559401-629017-523366-609972-546630-785752-584962-611605-718633-615658-760883-960875,0.0,4.778125000000001,PG,PG
110,10780,Overboard,Comedy-Romance,en,Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory Dean sees an opportunity to get even.,20.981,Metro-Goldwyn-Mayer-Hawn / Sylbert Movie Company-Star Partners,1987-12-16,22000000.0,26713187.0,112.0,Released,From opulence... to rags... to love.,6.8,704.0,Goldie Hawn-Kurt Russell-Edward Herrmann-Mike Hagerty-Katherine Helmond-Roddy McDowall-Brian Price-Jared Rushton-Jamie Wild-Jeffrey Wiseman-Harvey Miller-Doris Hess-Mona Lyden-Frank Campanella-Paul Fonteyn-Robert Goldman-Israel Juarbe-Robert Meadows-Scott Marshall-Paul Tinder-Bill Applebaum-Don Thompson-Ray Combs-Richard Stahl-Frank Buxton-Carol Williard-Bing Russell-Marvin Braverman-Lucinda Crosby-Laura Fabian-Rielle Hunter-Julie Paris-Lisa Beth Ross-Hector Elizondo-Sven-Ole Thorsen-Garry Marshall,amnesia-mother role-yacht-rich woman poor man-fish out of water-working class-hillbilly-single father-heiress-carpenter-opposites attract-rich snob-payback-unruly children,/v9MVFgUTvNRXmm2WWOzST6UXb5x.jpg,/lekXv2HA6pbhNicUGgGn74yhKFK.jpg,1727-10396-14361-10765-2163-11856-11860-9618-24548-454619-9671-9374-9647-8388-19494-10328-10833-9876-11153-6951-9359,4713187.0,6.576119402985075,PG-13,PG-13
111,864873,Hypnotic,Thriller-Drama-Horror,en,A young woman seeking self-improvement enlists the help of a renowned hypnotist but after a handful of intense sessions discovers unexpected and deadly consequences.,20.944,The Long Game,2021-10-27,0.0,0.0,89.0,Released,His wish is her command.,6.058,511.0,Kate Siegel-Jason O'Mara-Dulé Hill-Lucie Guest-Jaime M. Callica-Darien Martin-Luc Roderique,,/miEj4kNc4efZ5WbPJqWl1UXWrvS.jpg,/9CyFLGfeDOrOOPouHp446T5MSNi.jpg,785752-853588-669671-487083-575923-641900-799844-552660-653744-796499-734265-939475-992536-810731-990691-747688-524216-631060-1033107-871964-716703,0.0,5.884841243862519,PG-13,PG-13
112,4192,Death on the Nile,Mystery,en,As Hercule Poirot enjoys a luxurious cruise down the Nile a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?,20.814,Mersham Productions-EMI Films-Agatha Christie Limited,1978-09-29,7920000.0,14560084.0,140.0,Released,A murderer strikes on board the luxury Nile steamer Karnak – and Hercule Poirot faces his most baffling case.,7.1,661.0,Peter Ustinov-Jane Birkin-Lois Chiles-Bette Davis-Mia Farrow-Jon Finch-Olivia Hussey-I.S. Johar-George Kennedy-Angela Lansbury-Simon MacCorkindale-David Niven-Maggie Smith-Jack Warden-Harry Andrews-Sam Wanamaker-Celia Imrie-Saeed Jaffrey-Barbara Hicks,based on novel or book-egypt-paddleboat-pyramid-cruise-nile-sphinx-murder-whodunit-cobra-shipboard-murder mystery-1930s,/hHjv5ZsVMSBkKZ3sembgoLqmg1O.jpg,/mg4r2ppc9b9HcOpAXnK9ojmwEY9.jpg,4193-536338-4879-4176-442260-199495-775790-6028-11513-136080-4281-5052-29380-936-157843-3537-1834-31516-5854-1890-10363,6640084.0,6.824047306176084,PG,PG
113,87516,Oldboy,Drama-Thriller-Mystery-Action,en,An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,20.787,Vertigo Entertainment-40 Acres and a Mule Filmworks-Good Universe-OB Productions,2013-11-14,30000000.0,5186767.0,104.0,Released,Ask not why you were imprisoned. Ask why you were set free.,5.9,1721.0,Josh Brolin-Elizabeth Olsen-Sharlto Copley-Samuel L. Jackson-Michael Imperioli-Pom Klementieff-James Ransone-Max Casella-Linda Emond-Elvis Nolasco-Rami Malek-Lance Reddick-Hannah Ware-Richard Portnow-Hannah Simone-Ciera Payton-Cinqué Lee-Steven Hauck-Caitlin Dulany-Ilfenesh Hadera-Phyllis Montana LeBlanc-Michael J. Burg-Lizzy DeClement-Erik Gersovitz-Joe Chrest-Kerry Cahill-Violet Hill-Grey Damon-Elvy-Ronn Surels-Gino Galento-Brett Lapeyrouse-Altonio Jackson,imprisonment-remake-based on manga,/iX93YdBrZA1EpGbphmjf4ARj1Za.jpg,/aEIj4P4JYk5uY25HfnfEl9wHthF.jpg,670-109091-68724-106747-192102-64807-136400-97020-137094-109424-76544-59859-107846-189-4550-225574-168672-53182-137093-240916-193756,-24813233.0,5.850576606260297,PG-13,PG-13
115,12096,The Pink Panther,Comedy-Mystery-Crime-Adventure-Family,en,When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game and his expensive and huge ring with the diamond Pink Panther disappears the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.,20.745,Columbia Pictures-Metro-Goldwyn-Mayer-Robert Simonds Productions,2006-02-10,65000000.0,158851357.0,93.0,Released,Pardon His French.,5.824,1694.0,Steve Martin-Jean Reno-Kevin Kline-Beyoncé-Emily Mortimer-Henry Czerny-Kristin Chenoweth-Roger Rees-Philip Goodwin-Henri Garcin-William Abadie-Daniel Sauli-Jean Dell-Anna Katarina-Nick Toren-Sally Leung Bayer-Charlotte Maier-Stéphane Boucher-Radu Spinghel-Scott Adkins-Yan-Sang Roussel-Boris McGiver-Stephen Rowe-Alice Taglioni-Gregory Salata-Stefan Elbaum-Charley Fouquet-Robbie Nock-John Cenatiempo-Chuck Jeffreys-Aaron Vexler-Andrew Tarbet-Dexter Bell-Kristi Angus-Stephen Park-Aaron Pearl-Sean Tyson-Chelah Horsdal-Lucas Tavernier-Mareva Galanter-Delphine Chanéac-Ralph Drischell-Chad Gabriel-Antoine Blanquefort-Yvonne Sciò-Rick Jaeckel-Za Kari A. Asher-Renece Fincher-Stewart Castledine-Davide Borella-Jason Statham-Clive Owen-Michael Arthur-Lorna Joan Barrie-Dominick Cicco-Amir Darvish-Thomas Ho-Arnaud Klein-Jacqueline Lovell-Tyson Mao-Chris T. Margaritis-Susan McBrien-John Molinelli-Eric Moreau-Aleksandrs Petukhovs-Americo Presciutti-Sam Reich-Marty Eli Schwartz-Alexander von Roon-Kevin Watson-Colleen Werthmann-Jadin Wong-Marc Yarrish,paris france-france-robbery-diamond-investigation-inspector-football (soccer)-killer-clouseau-murder hunt,/kCP1wi8VyuyboDG0JN7VKlHzPlH.jpg,/3jiNJ4lyAmdSidvbFTFIL2GQGBu.jpg,15159-63250-9641-12268-11007-6081-936-11843-1268-9699-46828-36576-10022-9530-9982-332-9335-9408-10054-1656-9488,93851357.0,5.77806911928651,PG,PG
116,460321,Close,Action-Adventure-Thriller,en,A counter-terrorism expert takes a job protecting a young heiress. After an attempted kidnapping puts both of their lives in danger they must flee.,20.692,Lipsync Productions-WestEnd Films-Piccadilly Pictures-The Fyzz-Jewson Film-Whitaker Media-SQN Capital-BCP Asset Management,2019-01-18,0.0,0.0,95.0,Released,Trained to protect. Born to survive.,5.8,734.0,Noomi Rapace-Sophie Nélisse-Indira Varma-Eoin Macken-Akin Gazi-Sargon Yelda-Abdellatif Chaouqi-George Georgiou-Christopher Sciueref-Kevin Shen-Olivia Jewson-Huw Parmenter-Cherise Silvestri-Robin Kermode-Akin Gazi-Anna-Marie Sullivan-Mansour Badri-Fatima Herandi-Rawya-Christopher Sciueref-Nouredine Touami-Mehdi El Ouazzani-Youssef Kerkour-Mimi Keene-Lauren Harris-Charley Palmer Rothwell-Jonathon Michaels,casablanca-morocco-kidnapping-bodyguard-heiress-safe house-counter-terrorism,/4kjUGqPIv6kpxJUvjmeQX7nQpKd.jpg,/j7n2zYUODG8ViBSq7VyXyGlwJfH.jpg,483906-433249-53100-451491-310558-18065-445954-10744-375211-10629-291276-550844-515741-27584-579831-9422-1770-192465-446807-531593-347375,0.0,5.704076738609112,PG-13,PG-13
118,25842,A Christmas Carol,Drama-Fantasy-Family,en,Classic Charles Dickens holiday tale of Ebenezer Scrooge the miser's miser who has a huge change of heart after spirits whisk him into the past present and future.,20.676,Metro-Goldwyn-Mayer,1938-12-16,0.0,0.0,69.0,Released,"Greater than ""David Copperfield""!",7.1,103.0,Reginald Owen-Gene Lockhart-Terry Kilburn-Barry MacKay-Lynne Carver-Leo G. Carroll-Ann Rutherford-Lionel Braham-Ronald Sinclair-Kathleen Lockhart-Bunny Beatty-Charles Peck-June Lockhart-Charles Coleman-Matthew Boulton-Forrester Harvey-John O'Day-Billy Bevan-William Ripley Dorr-D'Arcy Corrigan-Harry Cording-Lumsden Hare-Halliwell Hobbes-Olaf Hytten-I. Stanford Jolley-Colin Kenny-Crauford Kent-Delmar Watson,holiday-based on novel or book-clerk-little boy-apparition-redemption-spirit-goose-celebration-miser-ghost-christmas spirit-christmas-bookkeeper-generosity-lame child-sickly boy,/cvr7x3CjBMsHv2GptR0tcFddMSa.jpg,/1e3nb2OYeLIXQ9yYdLb9NZVQmyv.jpg,452226-929340-245-632856-1585,0.0,6.065517241379311,PG,PG
119,15472,The Girl with the Dragon Tattoo,Drama-Thriller-Crime-Mystery,sv,Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie Mikael Blomkvist a middle-aged publisher for the magazine Millennium loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless he is hired by Henrik Vanger in order to solve a cold case the disappearance of Vanger's niece,20.624,Det Danske Filminstitut-Nordisk Film Denmark-Svenska Filminstitutet-Film i Väst-SVT-ZDF-Nordisk Film & TV Fond-Yellow Bird-Film Capital Stockholm-Spiltan Underhållning,2009-02-27,13000000.0,109421911.0,152.0,Released,Based on the Worldwide Best Seller,7.5,2592.0,Michael Nyqvist-Noomi Rapace-Lena Endre-Sven-Bertil Taube-Peter Haber-Peter Andersson-Marika Lagercrantz-Ingvar Hirdwall-Björn Granath-Ewa Fröling-Michalis Koutsogiannakis-Annika Hallin-Sofia Ledarp-Tomas Köhler-David Dencik-Stefan Sauk-Gösta Bredefeldt-Fredrik Ohlsson-Jacob Ericksson-Gunnel Lindblom-Barbro Enberg-Reuben Sallmander-Yasmine Garbi-Georgi Staykov-Nina Norén-Emil Almén-Louise Ryme-Pale Olofsson-Mikael Rahm-Willie Andréason-Lennart R. Svensson-Karl Oscar Törnros-Kalled Mustonen-Henrik Knutsson-Alexandra Pascalidou-Tehilla Blad-Julia Sporre-Laura Lind-Isabella Isacson-Richard Franc-Magnus Stenius-Daniel Abreu-Sofia Brattwall-Christian Fiedler-Jannike Grut-Alexandra Hummingson-Shaun R.L. King-Henrik Kvarnlöt-Jan Mybrand-Mika-Christer Mäenpää-Sovi Rydén-Margareta Stone-Lisbeth Åkerman,rape-journalist-based on novel or book-bondage-island-hacker-strong woman-blow job-antisocial personality disorder-female protagonist-whodunit-newspaper man-millennium-female empowerment-locked room mystery,/r2pFUXKK20KD9RE3yybpQsNynRE.jpg,/dPE25PbaeE6fCR2SQb4H4MeBmml.jpg,24253-33613-65754-974961-85375-104-12405-745-187-2118-45269-2502-2503-380-1491-12163-1640-5503-44264-2501-2252,96421911.0,7.407132243684993,PG,PG
